,Mean_Danger_Rating,"Population, 2016",Popn_prop,Total private dwellings,Dwellin_propn,Population density per square kilometre,Popn_density_Comp_to_city,Children (0-14 years),Children_propn,Seniors (65+ years),Older Seniors (85+ years),Seniors (>65),Seniors_propn,Average household size,Avg_household_size_comp_to_city,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Commuters_into_neigh_propn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
clanton_park,1.333333333,"16,472",0.0060,"6,881",0.0058,"3,979",0.918,"2,765",0.0069,"2,375",400,"2,775",0.006,2.51,1.0372,"7,160",0.0066,0.00,5.88,5.88,0.00,0.00,5.88,5.88,0.00,5.88,11.76,11.76,0.00,5.88,11.76,0.00,0.00,0.00,17.65,5.88,0.00,0.00,0.00,0.00,5.88
cliffcrest,1.258064516,"15,935",0.0058,"6,094",0.0052,"2,273",0.524,"2,575",0.0065,"2,695",370,"3,065",0.006,2.68,1.1074,"5,915",0.0054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,9.09,0.00,18.18,0.00,9.09,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,9.09
corso_italia_davenport,1.387096774,"14,133",0.0052,"5,903",0.0050,"7,478",1.725,"1,910",0.0048,"2,015",300,"2,315",0.005,2.56,1.0579,"5,810",0.0053,8.33,8.33,0.00,0.00,0.00,8.33,8.33,0.00,8.33,0.00,8.33,8.33,8.33,0.00,8.33,8.33,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00
danforth,1.75,"9,666",0.0035,"4,108",0.0035,"8,554",1.974,"1,675",0.0042,"1,515",195,"1,710",0.003,2.44,1.0083,"4,145",0.0038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
danforth_east_york,1.333333333,"17,180",0.0063,"7,275",0.0062,"7,881",1.818,"3,020",0.0076,"2,655",365,"3,020",0.006,2.43,1.0041,"7,090",0.0065,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,18.18,0.00,0.00,0.00,0.00,18.18,9.09,9.09,9.09,18.18,0.00,0.00,0.00
don_valley_village,1.326086957,"27,051",0.0099,"10,196",0.0086,"6,441",1.486,"4,065",0.0102,"4,700",665,"5,365",0.011,2.69,1.1116,"10,055",0.0092,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,17.65,17.65,5.88,5.88,5.88,0.00,11.76,5.88,0.00,5.88,5.88,0.00,0.00,5.88,0.00
dorset_park,1.315789474,"25,003",0.0092,"8,995",0.0076,"4,146",0.957,"4,250",0.0107,"3,780",790,"4,570",0.009,2.78,1.1488,"9,500",0.0087,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,6.67,13.33,6.67,0.00,6.67,0.00,0.00,0.00,6.67,20.00,13.33,0.00,0.00,13.33
dovercourt_wallace_emerson_junction,1.396226415,"36,625",0.0134,"16,248",0.0138,"9,819",2.266,"4,480",0.0113,"4,515",595,"5,110",0.010,2.37,0.9793,"16,040",0.0147,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,14.29,0.00,14.29,4.76,4.76,9.52,4.76,0.00,19.05,9.52,0.00,4.76,0.00,4.76,0.00
downsview_roding_cfb,1.268656716,"35,052",0.0128,"14,244",0.0121,"2,337",0.539,"5,725",0.0144,"5,535",870,"6,405",0.013,2.67,1.1033,"13,245",0.0121,0.00,0.00,0.00,0.00,0.00,4.00,0.00,12.00,4.00,8.00,4.00,8.00,0.00,0.00,4.00,16.00,0.00,4.00,4.00,12.00,8.00,0.00,4.00,8.00
dufferin_grove,1.428571429,"11,785",0.0043,"5,815",0.0049,"8,540",1.970,"1,285",0.0032,"1,515",175,"1,690",0.003,2.15,0.8884,"5,315",0.0049,0.00,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00
east_end_danforth,1.272727273,"21,381",0.0078,"9,535",0.0081,"8,038",1.855,"3,735",0.0094,"2,650",310,"2,960",0.006,2.29,0.9463,"8,895",0.0081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,14.29,7.14,0.00,0.00,14.29,0.00,7.14,14.29,0.00,14.29,14.29,7.14,0.00,0.00
edenbridge_humber_valley,1.2,"15,535",0.0057,"6,606",0.0056,"2,840",0.655,"2,120",0.0053,"3,290",665,"3,955",0.008,2.43,1.0041,"6,150",0.0056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00
eglinton_east,1.5,"22,776",0.0083,"8,199",0.0070,"7,051",1.627,"4,180",0.0105,"3,505",560,"4,065",0.008,2.81,1.1612,"8,070",0.0074,0.00,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,11.11,0.00,5.56,5.56,0.00,11.11,5.56,5.56,22.22,0.00,5.56,0.00
elms_old_rexdale,1.5,"9,456",0.0035,"3,344",0.0028,"3,306",0.763,"1,805",0.0045,"1,275",145,"1,420",0.003,2.93,1.2107,"3,375",0.0031,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00
englemount_lawrence,1.6,"22,372",0.0082,"8,858",0.0075,"6,466",1.492,"4,805",0.0121,"3,725",955,"4,680",0.009,2.65,1.0950,"7,840",0.0072,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,33.33,16.67,0.00,0.00,0.00,0.00
eringate_centennial_west_deane,1.444444444,"18,588",0.0068,"6,977",0.0059,"2,171",0.501,"2,635",0.0066,"3,765",565,"4,330",0.009,2.7,1.1157,"7,615",0.0070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,28.57,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00
